1745295092.542418,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745295092.539, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'keypad open'}}
1745295092.543401,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745295092.539, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'show action buttons'}}
1745295092.542684,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745295092.538, 'source': 'VitalsTask', 'timer': 0, 'data': {'sensor': 'Heart Rate', 'action': 'opened sensor tab'}}
1745327363.4566,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745327363.453, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'opened sensor tab'}}
1745327363.457455,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745327363.454, 'source': 'VitalsTask', 'timer': 0.002, 'data': {'sensor': 'Heart Rate', 'action': 'keypad open'}}
1745327363.457592,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745327363.454, 'source': 'VitalsTask', 'timer': 0.002, 'data': {'sensor': 'Heart Rate', 'action': 'show action buttons'}}
1745327760.896141,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745327760.893, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'opened sensor tab'}}
1745327760.896674,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745327760.894, 'source': 'VitalsTask', 'timer': 0.002, 'data': {'sensor': 'Heart Rate', 'action': 'keypad open'}}
1745327760.897158,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745327760.894, 'source': 'VitalsTask', 'timer': 0.002, 'data': {'sensor': 'Heart Rate', 'action': 'show action buttons'}}
1745328356.607555,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328356.604, 'source': 'VitalsTask', 'timer': 0, 'data': {'sensor': 'Heart Rate', 'action': 'opened sensor tab'}}
1745328356.608576,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328356.605, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'keypad open'}}
1745328356.608502,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328356.605, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'show action buttons'}}
1745328735.898856,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328735.896, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'opened sensor tab'}}
1745328735.898815,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328735.896, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'keypad open'}}
1745328735.898886,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328735.896, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'show action buttons'}}
1745328976.202556,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328976.199, 'source': 'VitalsTask', 'timer': 0, 'data': {'sensor': 'Heart Rate', 'action': 'opened sensor tab'}}
1745328976.203125,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328976.2, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'keypad open'}}
1745328976.203535,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328976.2, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'show action buttons'}}
1745328976.630564,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328976.628, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'opened sensor tab'}}
1745328976.63111,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328976.628, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'keypad open'}}
1745328976.63186,ID:0,STAGE:1,SEQUENCE:0,DATA:{'page':'None','action':'None','timestamp':None},ANY:{'time': 1745328976.628, 'source': 'VitalsTask', 'timer': 0.001, 'data': {'sensor': 'Heart Rate', 'action': 'show action buttons'}}
