page,action,key,value,timestamp
index,opened page,,,1751464743403
map,selected helipad,,,1751464744989
Heart Rate,opened sensor tab,,,1751464762035
Heart Rate,keypad open,,,1751464762036
Heart Rate,show action buttons,,,1751464762036
Heart Rate,opened sensor tab,,,1751464852031
Heart Rate,keypad open,,,1751464852032
Heart Rate,show action buttons,,,1751464852032
speak text,Receieved text and level:Are you ready to start?normal,,,1751464889919
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1751464889920
,Controller Executing: click on start-button with value: undefined,,,1751464893784
index,confirm button pressed,,,1751464893785
,,,,
map,selected helipad,,,1751464894854
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1751464896766
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1751464896767
,Controller Executing: click on confirm-button with value: undefined,,,1751464902190
,,,,
checklist,opened page,,,1751464902288
map,selected helipad,,,1751464903266
checklist,toggled checkbox,,,1751464907813
checklist,toggled checkbox,,,1751464910755
checklist,toggled checkbox,,,1751464913209
checklist,showing confirm button,,,1751464913210
,Controller Executing: click on confirm-button with value: undefined,,,1751464915282
checklist,confirm button clicked,,,1751464915282
countdown,opened page,,,1751464915368
map,selected helipad,,,1751464916335
countdown,countdown now 4,,,1751464916380
countdown,countdown now 3,,,1751464917380
speak text,"Receieved text and level:Acknowledge, Taking Offnormal",,,1751464917759
Jarvis speaking,"Message: Acknowledge, Taking Off Stress level: normal",,,1751464917760
countdown,countdown now 2,,,1751464918379
countdown,countdown now 1,,,1751464919369
countdown,countdown now 0,,,1751464920369
countdown,countdown complete,,,1751464921369
,Starting prompt cycle,,,1751464922085
,Starting prompt cycle,,,1751464922112
map,selected helipad,,,1751464922469
radio update,radio update asked,,,1751464922741
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1751464922741
radio prompt,radio update prompt 1,,,1751464922741
emergency,trying to change destination to100,,,1751464926518
emergency,trying to change destination to19,,,1751464931531
emergency,trying to change destination to19,,,1751464936511
speak text,Receieved text and level:Opening mapnormal,,,1751464937020
Jarvis speaking,Message: Opening map Stress level: normal,,,1751464937021
map,show map,,,1751464937973
map,show map,,,1751464938490
emergency,trying to change destination to19,,,1751464941521
emergency,trying to change destination to19,,,1751464946530
emergency,trying to change destination to19,,,1751464951502
emergency,trying to change destination to19,,,1751464956501
speak text,Receieved text and level:This is Jarvis. Call me if you need any Assistancenormal,,,1751464957098
