page,action,key,value,timestamp
Heart Rate,opened sensor tab,,,1752587521655
Heart Rate,keypad open,,,1752587521655
Heart Rate,show action buttons,,,1752587521656
Heart Rate,opened sensor tab,,,1752587629125
Heart Rate,capture,,,1752587633319
Heart Rate,capture,,,1752587633321
Heart Rate,capture,,,1752587634331
Heart Rate,keypad open,,,1752587634332
Heart Rate,keypad press,5,5,1752587645452
Heart Rate,keypad press,5,55,1752587645620
Heart Rate,show action buttons,,,1752587646699
Heart Rate,keypad press,10,55,1752587646700
Heart Rate,log,,,1752587649596
Heart Rate,log,,,1752587649596
Heart Rate,log,,,1752587650611
Heart Rate,save,,,1752587651620
Heart Rate,save,,,1752587651620
Heart Rate,save,,,1752587652634
O₂ Saturation,opened sensor tab,,,1752587655211
O₂ Saturation,capture,,,1752587657868
O₂ Saturation,capture,,,1752587657868
O₂ Saturation,keypad open,,,1752587658887
O₂ Saturation,keypad press,1,1,1752587659940
O₂ Saturation,keypad press,11,10,1752587661045
O₂ Saturation,keypad press,11,100,1752587661196
O₂ Saturation,show action buttons,,,1752587661924
O₂ Saturation,keypad press,10,100,1752587661924
O₂ Saturation,log,,,1752587662652
O₂ Saturation,log,,,1752587662652
O₂ Saturation,save,,,1752587663211
O₂ Saturation,save,,,1752587663211
O₂ Saturation,log,,,1752587663670
O₂ Saturation,save,,,1752587664939
O₂ Saturation,save,,,1752587665949
Blood Pressure,opened sensor tab,,,1752587669051
Blood Pressure,capture,,,1752587671581
Blood Pressure,capture,,,1752587671581
Blood Pressure,capture,,,1752587672600
Blood Pressure,keypad open,,,1752587672601
Blood Pressure,keypad press,1,1,1752587673468
Blood Pressure,keypad press,2,12,1752587674108
Blood Pressure,keypad press,11,120,1752587675116
Blood Pressure,keypad press,8,1208,1752587676244
Blood Pressure,keypad press,11,12080,1752587678164
Blood Pressure,show action buttons,,,1752587678907
Blood Pressure,keypad press,10,12080,1752587678907
Blood Pressure,log,,,1752587680612
Blood Pressure,log,,,1752587681629
Blood Pressure,save,,,1752587682340
Blood Pressure,save,,,1752587683358
submit,submit,,,1752587685579
submit,submit,,,1752587685579
speak text,Receieved text and level:Are you ready to start?normal,,,1752587795771
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1752587795771
index,confirm button pressed,,,1752587800903
,,,,
map,selected helipad,,,1752587801976
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1752587803060
,Controller Executing: click on confirm-button with value: undefined,,,1752587809333
,,,,
checklist,opened page,,,1752587809436
map,selected helipad,,,1752587810418
speak text,Receieved text and level:Put on your seatbelts and ensure that all equipments are securenormal,,,1752587813109
Jarvis speaking,Message: Put on your seatbelts and ensure that all equipments are secure Stress level: normal,,,1752587813109
checklist,toggled checkbox,,,1752587821044
checklist,toggled checkbox,,,1752587823105
checklist,toggled checkbox,,,1752587825685
checklist,showing confirm button,,,1752587825686
,Controller Executing: click on confirm-button with value: undefined,,,1752587827170
checklist,confirm button clicked,,,1752587827170
countdown,opened page,,,1752587827242
map,selected helipad,,,1752587828219
countdown,countdown now 4,,,1752587828245
countdown,countdown now 3,,,1752587829243
countdown,countdown now 2,,,1752587830243
countdown,countdown now 1,,,1752587831255
countdown,countdown now 0,,,1752587832242
countdown,countdown complete,,,1752587833243
map,selected helipad,,,1752587834359
,Starting prompt cycle,,,1752587834816
,Starting prompt cycle,,,1752587834827
,Starting prompt cycle,,,1752587836059
emergency,trying to change destination to100,,,1752587838403
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752587842298
radio prompt,radio update prompt 1,,,1752587842299
emergency,trying to change destination to19,,,1752587843386
emergency,trying to change destination to19,,,1752587848409
emergency,trying to change destination to19,,,1752587853381
Jarvis speaking,Message: Opening map Stress level: normal,,,1752587853876
map,selected helipad,,,1752587854868
map,selected helipad,,,1752587855371
emergency,trying to change destination to19,,,1752587858401
emergency,trying to change destination to19,,,1752587863398
emergency,trying to change destination to19,,,1752587868404
emergency,trying to change destination to19,,,1752587873416
emergency,trying to change destination to19,,,1752587878398
emergency,trying to change destination to19,,,1752587883415
map,selected helipad,,,1752587883708
emergency,trying to change destination to19,,,1752587888404
emergency,trying to change destination to19,,,1752587893393
emergency,trying to change destination to19,,,1752587898403
emergency,trying to change destination to19,,,1752587903386
inflight,displaying vitals prompt,,,1752587904462
vitals prompt,log vitals prompted,,,1752587904462
vitals prompt,vitals_prompt 1,,,1752587904462
emergency,trying to change destination to19,,,1752587908392
emergency,trying to change destination to19,,,1752587913407
,user acknowledged vitals prompt,,,1752587916299
emergency,trying to change destination to19,,,1752587918414
Heart Rate,opened sensor tab,,,1752587919419
vitals prompt,auto off vitals prompt,,,1752587919462
Heart Rate,capture,,,1752587920900
Heart Rate,capture,,,1752587920901
Heart Rate,capture,,,1752587921920
Heart Rate,keypad open,,,1752587921921
Heart Rate,keypad press,5,5,1752587923395
emergency,trying to change destination to19,,,1752587923392
Heart Rate,keypad press,5,55,1752587923555
Heart Rate,show action buttons,,,1752587925211
Heart Rate,keypad press,10,55,1752587925212
Heart Rate,log,,,1752587926388
Heart Rate,log,,,1752587926388
Heart Rate,log,,,1752587927406
Heart Rate,save,,,1752587928204
emergency,trying to change destination to19,,,1752587928401
Heart Rate,save,,,1752587929223
O₂ Saturation,opened sensor tab,,,1752587932356
emergency,trying to change destination to19,,,1752587933380
O₂ Saturation,capture,,,1752587933917
O₂ Saturation,capture,,,1752587933918
O₂ Saturation,capture,,,1752587934939
O₂ Saturation,keypad open,,,1752587934939
O₂ Saturation,keypad press,1,1,1752587935939
O₂ Saturation,keypad press,11,10,1752587936796
O₂ Saturation,keypad press,11,100,1752587936973
O₂ Saturation,show action buttons,,,1752587937684
O₂ Saturation,keypad press,10,100,1752587937684
emergency,trying to change destination to19,,,1752587938393
O₂ Saturation,log,,,1752587939027
O₂ Saturation,log,,,1752587939028
O₂ Saturation,log,,,1752587940042
O₂ Saturation,save,,,1752587940155
O₂ Saturation,save,,,1752587940156
O₂ Saturation,save,,,1752587941167
Blood Pressure,opened sensor tab,,,1752587942772
emergency,trying to change destination to19,,,1752587943403
Blood Pressure,capture,,,1752587944092
Blood Pressure,capture,,,1752587944092
Blood Pressure,capture,,,1752587945105
Blood Pressure,keypad open,,,1752587945105
Blood Pressure,keypad press,1,1,1752587945885
Blood Pressure,keypad press,2,12,1752587946637
Blood Pressure,keypad press,11,120,1752587947412
