page,action,key,value,timestamp
Heart Rate,opened sensor tab,,,1752613652739
Heart Rate,show action buttons,,,1752613652740
speak text,Receieved text and level:Are you ready to start?normal,,,1752613790780
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1752613790780
,Controller Executing: click on start-button with value: undefined,,,1752613794457
index,confirm button pressed,,,1752613794457
,,,,
map,selected helipad,,,1752613795522
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1752613796430
,,,,
checklist,opened page,,,1752613800796
map,selected helipad,,,1752613801777
,Controller Executing: click on confirm-button with value: undefined,,,1752613802735
checklist,toggled checkbox,,,1752613806373
checklist,toggled checkbox,,,1752613808806
checklist,toggled checkbox,,,1752613810618
checklist,showing confirm button,,,1752613810618
,Controller Executing: click on confirm-button with value: undefined,,,1752613812059
checklist,confirm button clicked,,,1752613812059
countdown,opened page,,,1752613812149
map,selected helipad,,,1752613813115
countdown,countdown now 4,,,1752613813151
speak text,"Receieved text and level:Acknowledge, Taking Offnormal",,,1752613813586
countdown,countdown now 3,,,1752613814155
countdown,countdown now 2,,,1752613815156
countdown,countdown now 1,,,1752613816157
countdown,countdown now 0,,,1752613817157
countdown,countdown complete,,,1752613818151
,Starting prompt cycle,,,1752613819206
,Starting prompt cycle,,,1752613819235
map,selected helipad,,,1752613819209
emergency,trying to change destination to100,,,1752613823266
inflight,displaying vitals prompt,,,1752613827245
vitals prompt,log vitals prompted,,,1752613827245
vitals prompt,vitals_prompt 1,,,1752613827247
emergency,trying to change destination to19,,,1752613828243
,user acknowledged vitals prompt,,,1752613829878
Heart Rate,opened sensor tab,,,1752613831452
emergency,trying to change destination to19,,,1752613833251
Heart Rate,capture,,,1752613833537
Heart Rate,capture,,,1752613833538
Heart Rate,capture,,,1752613834550
Heart Rate,keypad open,,,1752613834551
Heart Rate,keypad press,5,5,1752613835990
Heart Rate,keypad press,5,55,1752613837878
emergency,trying to change destination to19,,,1752613838261
Heart Rate,show action buttons,,,1752613839002
Heart Rate,keypad press,10,55,1752613839002
Heart Rate,log,,,1752613840779
Heart Rate,log,,,1752613840779
Heart Rate,log,,,1752613841799
vitals prompt,auto off vitals prompt,,,1752613842247
Heart Rate,save,,,1752613842595
Heart Rate,save,,,1752613842596
emergency,trying to change destination to19,,,1752613843241
Heart Rate,save,,,1752613843614
O₂ Saturation,opened sensor tab,,,1752613844506
O₂ Saturation,capture,,,1752613846334
O₂ Saturation,capture,,,1752613846335
O₂ Saturation,capture,,,1752613847349
O₂ Saturation,keypad open,,,1752613847349
O₂ Saturation,keypad press,1,1,1752613848385
emergency,trying to change destination to19,,,1752613848254
O₂ Saturation,keypad press,11,10,1752613850057
O₂ Saturation,keypad press,11,100,1752613850681
O₂ Saturation,show action buttons,,,1752613851769
O₂ Saturation,keypad press,10,100,1752613851770
O₂ Saturation,log,,,1752613853089
emergency,trying to change destination to19,,,1752613853263
O₂ Saturation,log,,,1752613854107
O₂ Saturation,save,,,1752613854953
O₂ Saturation,save,,,1752613855967
Blood Pressure,opened sensor tab,,,1752613857793
emergency,trying to change destination to19,,,1752613858273
Blood Pressure,capture,,,1752613859598
Blood Pressure,capture,,,1752613859598
Blood Pressure,keypad open,,,1752613860609
Blood Pressure,keypad press,1,1,1752613861577
Blood Pressure,keypad press,2,12,1752613862332
emergency,trying to change destination to19,,,1752613863251
Blood Pressure,keypad press,11,120,1752613863924
Blood Pressure,keypad press,8,1208,1752613865367
Blood Pressure,keypad press,11,12080,1752613866445
Blood Pressure,show action buttons,,,1752613867460
Blood Pressure,keypad press,10,12080,1752613867460
emergency,trying to change destination to19,,,1752613868262
Blood Pressure,log,,,1752613869206
Blood Pressure,log,,,1752613869207
Blood Pressure,log,,,1752613870228
Blood Pressure,save,,,1752613870772
Blood Pressure,save,,,1752613870772
Blood Pressure,save,,,1752613871787
submit,submit,,,1752613873074
submit,submit,,,1752613873075
emergency,trying to change destination to19,,,1752613873274
speak text,Receieved text and level:Vitals received.normal,,,1752613876343
Jarvis speaking,Message: Vitals received. Stress level: normal,,,1752613876344
emergency,trying to change destination to19,,,1752613878285
emergency,trying to change destination to19,,,1752613883263
emergency,trying to change destination to19,,,1752613888276
emergency,trying to change destination to19,,,1752613893253
speak text,Receieved text and level:May I show you the map?normal,,,1752613894165
Jarvis speaking,Message: May I show you the map? Stress level: normal,,,1752613894166
emergency,trying to change destination to19,,,1752613898262
Jarvis speaking,Message: Opening map Stress level: normal,,,1752613898658
map,selected helipad,,,1752613899214
map,selected helipad,,,1752613899721
emergency,trying to change destination to19,,,1752613903273
radio update,radio update asked,,,1752613905362
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752613905361
radio prompt,radio update prompt 1,,,1752613905362
emergency,trying to change destination to19,,,1752613908255
emergency,trying to change destination to19,,,1752613913266
emergency,trying to change destination to19,,,1752613918272
emergency,trying to change destination to19,,,1752613923281
emergency,trying to change destination to19,,,1752613928262
emergency,trying to change destination to19,,,1752613933274
Jarvis speaking,Message: How is the flight so far? Stress level: normal,,,1752613936065
emergency,trying to change destination to19,,,1752613938253
inflight,displaying vitals prompt,,,1752613942229
vitals prompt,log vitals prompted,,,1752613942230
vitals prompt,vitals_prompt 2,,,1752613942230
emergency,trying to change destination to19,,,1752613943262
,user acknowledged vitals prompt,,,1752613947230
emergency,trying to change destination to19,,,1752613948273
Heart Rate,opened sensor tab,,,1752613949435
Heart Rate,capture,,,1752613951481
Heart Rate,capture,,,1752613952491
Heart Rate,keypad open,,,1752613952491
emergency,trying to change destination to19,,,1752613953255
speak text,Receieved text and level:thanks. Enjoy the flightnormal,,,1752613953407
Jarvis speaking,Message: thanks. Enjoy the flight Stress level: normal,,,1752613953407
Heart Rate,keypad press,5,5,1752613954003
Heart Rate,keypad press,5,55,1752613954690
Heart Rate,show action buttons,,,1752613956078
Heart Rate,keypad press,10,55,1752613956079
vitals prompt,auto off vitals prompt,,,1752613957231
Heart Rate,log,,,1752613957701
Heart Rate,log,,,1752613957701
emergency,trying to change destination to19,,,1752613958264
Heart Rate,log,,,1752613958718
Heart Rate,save,,,1752613959406
Heart Rate,save,,,1752613959407
Heart Rate,save,,,1752613960425
O₂ Saturation,opened sensor tab,,,1752613961401
O₂ Saturation,capture,,,1752613962968
O₂ Saturation,capture,,,1752613962968
emergency,trying to change destination to19,,,1752613963275
O₂ Saturation,capture,,,1752613963987
O₂ Saturation,keypad open,,,1752613963987
O₂ Saturation,keypad press,1,1,1752613965158
O₂ Saturation,keypad press,11,10,1752613966546
O₂ Saturation,keypad press,11,100,1752613967227
O₂ Saturation,keypad press,9,1009,1752613968137
emergency,trying to change destination to19,,,1752613968250
O₂ Saturation,keypad press,12,100,1752613970227
O₂ Saturation,keypad press,10,100,1752613972423
emergency,trying to change destination to19,,,1752613973261
O₂ Saturation,log,,,1752613974440
O₂ Saturation,log,,,1752613975454
O₂ Saturation,save,,,1752613975868
O₂ Saturation,save,,,1752613975869
O₂ Saturation,save,,,1752613976885
Blood Pressure,opened sensor tab,,,1752613978185
emergency,trying to change destination to19,,,1752613978275
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752613980179
radio update,radio update asked,,,1752613980179
radio prompt,radio update prompt 2,,,1752613980180
Blood Pressure,capture,,,1752613980425
Blood Pressure,capture,,,1752613981443
Blood Pressure,keypad press,1,1,1752613982902
emergency,trying to change destination to19,,,1752613983250
Blood Pressure,keypad press,2,12,1752613984551
Blood Pressure,keypad press,11,120,1752613985685
Blood Pressure,keypad press,8,1208,1752613987188
emergency,trying to change destination to19,,,1752613988261
Blood Pressure,keypad press,11,12080,1752613988534
Blood Pressure,show action buttons,,,1752613989728
Blood Pressure,keypad press,10,12080,1752613989729
Blood Pressure,log,,,1752613991133
Blood Pressure,log,,,1752613991134
Blood Pressure,log,,,1752613992143
Blood Pressure,save,,,1752613992900
Blood Pressure,save,,,1752613992901
emergency,trying to change destination to19,,,1752613993256
Blood Pressure,save,,,1752613993918
submit,submit,,,1752613995297
submit,submit,,,1752613995297
speak text,Receieved text and level:Vitals receivednormal,,,1752613997710
Jarvis speaking,Message: Vitals received Stress level: normal,,,1752613997711
emergency,trying to change destination to19,,,1752613998253
emergency,"show Pressure Miscalibrated Warning, hide map",,,1752613998253
map,hide map,,,1752613998253
Inflight,Pressure Warning alert activated,,,1752613998254
Inflight,showing emergency: low Low Pressure Warning <div> Report the reading from the secondary hydraulic pressure gauge</div>,,,1752613998255
Jarvis speaking,"Message: Hydraulic pressure anomaly detected. Request reading from backup pressure gauge, left panel, third dial. Stress level: normal",,,1752613998255
emergency,trying to change destination to19,,,1752614003267
emergency,trying to change destination to19,,,1752614008243
emergency,trying to change destination to19,,,1752614013246
emergency,trying to change destination to19,,,1752614018260
speak text,Receieved text and level:What is the current engine pressure?normal,,,1752614019058
Jarvis speaking,Message: What is the current engine pressure? Stress level: normal,,,1752614019058
inflight,displaying vitals prompt,,,1752614019628
vitals prompt,log vitals prompted,,,1752614019629
vitals prompt,vitals_prompt 3,,,1752614019629
emergency,trying to change destination to19,,,1752614023241
,Controller Executing: set-value on valueInput with value: 13,,,1752614026966
speak text,Receieved text and level:settingpressureinputto13normal,,,1752614026967
Jarvis speaking,Message: settingpressureinputto13 Stress level: normal,,,1752614026967
emergency,trying to change destination to19,,,1752614028251
Inflight,user entered correct value: 20,,,1752614028590
,Controller Executing: click on submit-button with value: undefined,,,1752614031971
Jarvis speaking,Message: Copy. Sensor miscalibration likely. WARNING CLEARED. System status: Normal. Continuing course. Stress level: normal,,,1752614031971
Inflight,user entered correct value: 20,,,1752614031971
emergency,trying to change destination to19,,,1752614033262
vitals prompt,auto off vitals prompt,,,1752614034630
emergency,trying to change destination to19,,,1752614038246
emergency,trying to change destination to19,,,1752614043254
emergency,trying to change destination to19,,,1752614048260
speak text,Receieved text and level:Call me if you need any helpnormal,,,1752614051723
Jarvis speaking,Message: Call me if you need any help Stress level: normal,,,1752614051723
