page,action,key,value,timestamp
Heart Rate,opened sensor tab,,,1752770582473
Heart Rate,capture,,,1752770588417
Heart Rate,capture,,,1752770588418
Heart Rate,capture,,,1752770589432
Heart Rate,keypad open,,,1752770589432
Heart Rate,keypad press,5,5,1752770596376
Heart Rate,keypad press,5,55,1752770596760
Heart Rate,show action buttons,,,1752770598377
Heart Rate,keypad press,10,55,1752770598377
Heart Rate,log,,,1752770600953
Heart Rate,log,,,1752770600954
Heart Rate,log,,,1752770601967
Heart Rate,save,,,1752770603873
Heart Rate,save,,,1752770603874
Heart Rate,save,,,1752770604896
O₂ Saturation,opened sensor tab,,,1752770608001
O₂ Saturation,capture,,,1752770610588
O₂ Saturation,capture,,,1752770611604
O₂ Saturation,keypad open,,,1752770611604
O₂ Saturation,keypad press,1,1,1752770612932
O₂ Saturation,keypad press,11,10,1752770614281
O₂ Saturation,keypad press,11,100,1752770614529
O₂ Saturation,show action buttons,,,1752770615218
O₂ Saturation,keypad press,10,100,1752770615218
O₂ Saturation,log,,,1752770617147
O₂ Saturation,log,,,1752770617147
O₂ Saturation,log,,,1752770618166
O₂ Saturation,save,,,1752770619305
O₂ Saturation,save,,,1752770619306
O₂ Saturation,save,,,1752770620326
Blood Pressure,opened sensor tab,,,1752770631370
Blood Pressure,capture,,,1752770634354
Blood Pressure,capture,,,1752770634354
Blood Pressure,capture,,,1752770635364
Blood Pressure,keypad open,,,1752770635364
Blood Pressure,keypad press,1,1,1752770636690
Blood Pressure,keypad press,2,12,1752770637370
Blood Pressure,keypad press,11,120,1752770638146
Blood Pressure,keypad press,8,1208,1752770639666
Blood Pressure,keypad press,11,12080,1752770640420
Blood Pressure,show action buttons,,,1752770641322
Blood Pressure,keypad press,10,12080,1752770641323
Blood Pressure,log,,,1752770642322
Blood Pressure,log,,,1752770642323
Blood Pressure,log,,,1752770643335
Blood Pressure,save,,,1752770644211
Blood Pressure,save,,,1752770644211
Blood Pressure,save,,,1752770645225
submit,submit,,,1752770646498
submit,submit,,,1752770646498
speak text,Receieved text and level:Are you ready to start?normal,,,1752770670586
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1752770670587
speak text,Receieved text and level:Are you ready to start?normal,,,1752770683008
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1752770683008
,Controller Executing: click on start-button with value: undefined,,,1752770685435
index,confirm button pressed,,,1752770685436
,,,,
map,selected helipad,,,1752770686488
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1752770687622
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1752770687622
,Controller Executing: click on confirm-button with value: undefined,,,1752770693938
,,,,
checklist,opened page,,,1752770694081
map,selected helipad,,,1752770695071
speak text,Receieved text and level:Put on your seatbelts and ensure that all equipments are securenormal,,,1752770695366
Jarvis speaking,Message: Put on your seatbelts and ensure that all equipments are secure Stress level: normal,,,1752770695366
checklist,toggled checkbox,,,1752770717346
checklist,toggled checkbox,,,1752770719129
checklist,showing confirm button,,,1752770721165
,Controller Executing: click on confirm-button with value: undefined,,,1752770722688
checklist,confirm button clicked,,,1752770722689
countdown,opened page,,,1752770722746
map,selected helipad,,,1752770723735
countdown,countdown now 4,,,1752770723752
Jarvis speaking,"Message: Acknowledge, Taking Off Stress level: normal",,,1752770724667
countdown,countdown now 3,,,1752770724751
countdown,countdown now 2,,,1752770725752
countdown,countdown now 1,,,1752770726750
countdown,countdown now 0,,,1752770727749
countdown,countdown complete,,,1752770728748
,Starting prompt cycle,,,1752770728975
,Starting prompt cycle,,,1752770729004
map,selected helipad,,,1752770729810
inflight,displaying vitals prompt,,,1752770731408
vitals prompt,log vitals prompted,,,1752770731408
vitals prompt,vitals_prompt 1,,,1752770731409
emergency,trying to change destination to100,,,1752770733821
,user acknowledged vitals prompt,,,1752770736358
emergency,trying to change destination to19,,,1752770738842
Heart Rate,opened sensor tab,,,1752770740454
Heart Rate,capture,,,1752770742254
Heart Rate,capture,,,1752770742255
Heart Rate,capture,,,1752770743271
Heart Rate,keypad open,,,1752770743271
emergency,trying to change destination to19,,,1752770743824
Heart Rate,keypad press,5,5,1752770744999
Heart Rate,keypad press,5,55,1752770745286
Heart Rate,show action buttons,,,1752770746391
Heart Rate,keypad press,10,55,1752770746392
vitals prompt,auto off vitals prompt,,,1752770746409
Heart Rate,log,,,1752770747654
Heart Rate,log,,,1752770747655
Heart Rate,log,,,1752770748673
emergency,trying to change destination to19,,,1752770748826
Heart Rate,save,,,1752770749319
Heart Rate,save,,,1752770749319
Heart Rate,save,,,1752770750336
O₂ Saturation,opened sensor tab,,,1752770751983
emergency,trying to change destination to19,,,1752770753845
O₂ Saturation,capture,,,1752770754143
O₂ Saturation,capture,,,1752770754143
O₂ Saturation,capture,,,1752770755161
O₂ Saturation,keypad open,,,1752770755161
O₂ Saturation,keypad press,1,1,1752770756079
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752770756247
radio update,radio update asked,,,1752770756247
radio prompt,radio update prompt 1,,,1752770756248
O₂ Saturation,keypad press,11,10,1752770757095
O₂ Saturation,keypad press,11,100,1752770757575
O₂ Saturation,show action buttons,,,1752770758510
O₂ Saturation,keypad press,10,100,1752770758511
emergency,trying to change destination to19,,,1752770758854
O₂ Saturation,log,,,1752770759831
O₂ Saturation,log,,,1752770760846
O₂ Saturation,save,,,1752770761703
O₂ Saturation,save,,,1752770761704
O₂ Saturation,save,,,1752770762717
emergency,trying to change destination to19,,,1752770763829
Blood Pressure,opened sensor tab,,,1752770764442
Blood Pressure,capture,,,1752770765343
Blood Pressure,capture,,,1752770765343
Blood Pressure,capture,,,1752770766360
Blood Pressure,keypad open,,,1752770766361
Blood Pressure,keypad press,1,1,1752770767424
Blood Pressure,keypad press,2,12,1752770768032
Blood Pressure,keypad press,11,120,1752770768688
emergency,trying to change destination to19,,,1752770768844
Blood Pressure,keypad press,8,1208,1752770769327
Blood Pressure,keypad press,11,12080,1752770769847
Blood Pressure,show action buttons,,,1752770770848
Blood Pressure,keypad press,10,12080,1752770770848
Blood Pressure,log,,,1752770772047
Blood Pressure,log,,,1752770772048
Blood Pressure,log,,,1752770773066
Blood Pressure,save,,,1752770773687
Blood Pressure,save,,,1752770773688
emergency,trying to change destination to19,,,1752770773824
Blood Pressure,save,,,1752770774700
submit,submit,,,1752770775531
submit,submit,,,1752770775531
speak text,Receieved text and level:vitals receivednormal,,,1752770777892
Jarvis speaking,Message: vitals received Stress level: normal,,,1752770777892
emergency,trying to change destination to19,,,1752770778835
emergency,trying to change destination to19,,,1752770783848
emergency,trying to change destination to19,,,1752770788824
speak text,Receieved text and level:Opening mapnormal,,,1752770793298
Jarvis speaking,Message: Opening map Stress level: normal,,,1752770793298
map,selected helipad,,,1752770793812
emergency,trying to change destination to19,,,1752770793840
map,show map,,,1752770794317
map,selected helipad,,,1752770794317
emergency,trying to change destination to19,,,1752770798828
emergency,trying to change destination to19,,,1752770803823
emergency,trying to change destination to19,,,1752770808826
emergency,trying to change destination to19,,,1752770813862
emergency,trying to change destination to19,,,1752770818855
map,selected helipad,,,1752770822278
emergency,trying to change destination to19,,,1752770823825
emergency,trying to change destination to19,,,1752770828830
emergency,trying to change destination to19,,,1752770833856
emergency,trying to change destination to19,,,1752770838824
inflight,displaying vitals prompt,,,1752770842951
vitals prompt,log vitals prompted,,,1752770842952
vitals prompt,vitals_prompt 2,,,1752770842952
emergency,trying to change destination to19,,,1752770843849
emergency,trying to change destination to19,,,1752770848856
map,selected helipad,,,1752770850074
emergency,trying to change destination to19,,,1752770853825
vitals prompt,auto off vitals prompt,,,1752770857953
emergency,trying to change destination to19,,,1752770858849
Heart Rate,opened sensor tab,,,1752770861762
emergency,trying to change destination to19,,,1752770863856
Heart Rate,capture,,,1752770863973
Heart Rate,capture,,,1752770863973
Heart Rate,capture,,,1752770864987
Heart Rate,keypad press,5,5,1752770865843
Heart Rate,keypad press,5,55,1752770866235
Heart Rate,show action buttons,,,1752770867276
Heart Rate,keypad press,10,55,1752770867276
Heart Rate,log,,,1752770868444
emergency,trying to change destination to19,,,1752770868827
Heart Rate,log,,,1752770869462
Heart Rate,save,,,1752770869876
Heart Rate,save,,,1752770869878
Heart Rate,save,,,1752770870894
O₂ Saturation,opened sensor tab,,,1752770871933
O₂ Saturation,capture,,,1752770872948
emergency,trying to change destination to19,,,1752770873846
O₂ Saturation,keypad open,,,1752770873964
O₂ Saturation,keypad press,1,1,1752770874971
O₂ Saturation,keypad press,11,10,1752770875867
O₂ Saturation,keypad press,11,100,1752770876172
O₂ Saturation,show action buttons,,,1752770877709
O₂ Saturation,keypad press,10,100,1752770877710
O₂ Saturation,log,,,1752770878789
emergency,trying to change destination to19,,,1752770878855
O₂ Saturation,log,,,1752770879805
O₂ Saturation,save,,,1752770880389
O₂ Saturation,save,,,1752770880389
O₂ Saturation,save,,,1752770881408
Blood Pressure,opened sensor tab,,,1752770881923
Blood Pressure,capture,,,1752770883516
Blood Pressure,capture,,,1752770883516
emergency,trying to change destination to19,,,1752770883832
Blood Pressure,capture,,,1752770884529
Blood Pressure,keypad open,,,1752770884529
Blood Pressure,keypad press,1,1,1752770885222
Blood Pressure,keypad press,2,12,1752770885844
Blood Pressure,keypad press,11,120,1752770886637
Blood Pressure,keypad press,8,1208,1752770887269
Blood Pressure,keypad press,11,12080,1752770887679
Blood Pressure,show action buttons,,,1752770888372
Blood Pressure,keypad press,10,12080,1752770888373
emergency,trying to change destination to19,,,1752770888848
Blood Pressure,log,,,1752770889174
Blood Pressure,log,,,1752770890186
Blood Pressure,save,,,1752770890780
Blood Pressure,save,,,1752770890781
Blood Pressure,save,,,1752770891798
submit,submit,,,1752770892260
submit,submit,,,1752770892260
emergency,trying to change destination to19,,,1752770893859
speak text,Receieved text and level:vitals received and stable.normal,,,1752770896238
Jarvis speaking,Message: vitals received and stable. Stress level: normal,,,1752770896238
emergency,trying to change destination to19,,,1752770898829
emergency,trying to change destination to19,,,1752770903852
map,hide map,,,1752770903853
