page,action,timestamp
Heart Rate,opened sensor tab,1753797907934
Heart Rate,keypad open,1753797907935
Heart Rate,show action buttons,1753797907935
speak text,Receieved text and level:Are you ready to start?normal,1753798025410
Jarvis speaking,Message: Are you ready to start? Stress level: normal,1753798025410
,Controller Executing: click on start-button with value: undefined,1753798028178
index,confirm button pressed,1753798028178
,,
map,selected helipad,1753798029242
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,1753798029896
,Controller Executing: click on confirm-button with value: undefined,1753798034711
,,
checklist,opened page,1753798034809
map,selected helipad,1753798035789
Jarvis speaking,Message: Put on your seatbelts and ensure that all equipments are secure Stress level: normal,1753798038661
checklist,toggled checkbox,1753798047159
checklist,toggled checkbox,1753798048833
checklist,toggled checkbox,1753798050692
checklist,showing confirm button,1753798050693
checklist,confirm button clicked,1753798052317
countdown,opened page,1753798052383
map,selected helipad,1753798053368
countdown,countdown now 4,1753798053385
speak text,Receieved text and level:Acknowledge, Taking Offnormal,1753798054355
countdown,countdown now 3,1753798054385
countdown,countdown now 2,1753798055387
countdown,countdown now 1,1753798056387
countdown,countdown now 0,1753798057387
countdown,countdown complete,1753798058384
,Starting prompt cycle,1753798059027
,Starting prompt cycle,1753798059063
map,selected helipad,1753798059508
Ground speaking,N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.,1753798062540
radio update,radio update asked,1753798062541
radio prompt,radio update prompt 1,1753798062541
emergency,trying to change destination to100,1753798063585
emergency,trying to change destination to19,1753798068583
speak text,Receieved text and level:This is Jarvis. Call me if you need any help.normal,1753798072024
emergency,trying to change destination to19,1753798073565
emergency,trying to change destination to19,1753798078577
speak text,Receieved text and level:May I show you the map?normal,1753798081835
Jarvis speaking,Message: May I show you the map? Stress level: normal,1753798081835
emergency,trying to change destination to19,1753798083554
Jarvis speaking,Message: Opening map Stress level: normal,1753798086226
map,selected helipad,1753798087009
map,show map,1753798087512
map,selected helipad,1753798087513
emergency,trying to change destination to19,1753798088567
